Country name,Country code,Year,Number of deaths from disasters,Number of people injured from disasters,Number of total people affected by disasters,Number of people left homeless from disasters,Total economic damages from disasters as a share of GDP,Number of deaths from drought,Number of people injured from drought,Number of total people affected by drought,Number of people left homeless from drought,Total economic damages from drought as a share of GDP,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Number of people left homeless from earthquakes,Total economic damages from earthquakes as a share of GDP,Number of deaths from volcanic activity,Number of people injured from volcanic activity,Number of total people affected by volcanic activity,Number of people left homeless from volcanic activity,Total economic damages from volcanic activity as a share of GDP,Number of deaths from floods,Number of people injured from floods,Number of total people affected by floods,Number of people left homeless from floods,Total economic damages from floods as a share of GDP,Number of deaths from mass movements,Number of people injured from mass movements,Number of total people affected by mass movements,Number of people left homeless from mass movements,Total economic damages from mass movements as a share of GDP,Number of deaths from storms,Number of people injured from storms,Number of total people affected by storms,Number of people left homeless from storms,Total economic damages from storms as a share of GDP,Number of deaths from landslides,Number of people injured from landslides,Number of total people affected by landslides,Number of people left homeless from landslides,Total economic damages from landslides as a share of GDP,Number of deaths from wildfires,Number of people injured from wildfires,Number of total people affected by wildfires,Number of people left homeless from wildfires,Total economic damages from wildfires as a share of GDP,Number of deaths from extreme temperatures,Number of people injured from extreme temperatures,Number of total people affected by extreme temperatures,Number of people left homeless from extreme temperatures,Total economic damages from extreme temperatures as a share of GDP
Senegal,SEN,2020,920568,716219,18547379,908663,4.6890912678131125,2157274,360212,52129680,113737,0.8809747495614184,636957,3191455,18790767,626514,7.388348618602808,114485,4425871,35249315,871980,2.632584523134639,1513524,878212,20847886,1369069,7.723424893079015,30663,220017,4941077,328974,8.184860931033848,239477,416797,28162533,693439,2.4445867873499427,207193,75890,14992059,504321,0.4854598314331804,483544,843073,30060027,1035351,2.735796043562778,271617,101181,10614286,124692,4.633495943964327
Serbia,SRB,2020,476826,1348775,3941085,149565,0.7362227349850126,259028,1935366,4443556,844184,9.56730813082542,208699,2017956,20696208,152947,9.932300237506212,107166,531841,7492977,1157134,1.8275871519979623,71380,2210119,6201385,362357,1.684236431666314,1114855,3571353,1090876,113331,8.106913655066656,370527,238857,13315649,2420273,1.414290776881132,1097463,225493,37948754,2308431,4.619890090786251,302323,1318182,7643235,1279151,4.250677481213079,436787,655344,11649028,1136096,5.92368746258647
Seychelles,SYC,2020,917778,1548620,15551894,318842,2.809274812092676,398985,42187,18222483,95304,4.890692318177496,121802,293514,3209601,463624,0.6910504188659339,413467,660512,10719444,961720,5.718932673842549,974585,4116823,5141879,593054,6.6312250539739495,1928783,2140380,6958183,1708169,0.1609245595741515,1068784,738235,2600191,1821997,2.6935329411912057,1470696,804495,1247593,403853,6.824862930818826,773719,301788,8607800,480652,0.701276637563274,1078182,118680,3315216,272680,8.231171066694442
Sierra Leone,SLE,2020,120321,3204643,17727095,617553,1.9311328336717104,627965,1070557,2178070,2267064,7.800406150324974,284324,1284513,35223061,327624,8.09825377183919,3373058,3404937,1331186,601461,3.397717655019468,524313,507818,14643730,400397,4.005071040259521,1250310,156767,7896023,226782,1.7046541392021264,1399087,1180074,23071351,216187,7.981073836260219,14017,445913,4436327,1710161,2.3842504054661937,3584061,1928963,2406544,131611,4.553046185624544,1841612,1197126,16453410,3148274,0.4076593357313884
Singapore,SGP,2020,94629,325078,7879184,610051,0.7587492454219225,3029097,1458778,3259427,1271085,9.731821886188728,39779,21978,25562949,453446,7.758105297500146,308144,2684783,933753,339111,6.867588642762344,1056667,2236797,2618404,50693,4.065161860602026,1178895,2969512,166300,2770293,1.0777854967813882,1081978,17448,174598,78300,6.535907754688867,164984,1160336,21406730,161561,4.086186526019132,2411107,2096517,30372844,623783,3.007670021896102,2223192,522781,7235842,218343,0.7907921205434953
Slovakia,SVK,2020,1072023,1492352,1437112,1574662,1.0132300313723086,599135,2033808,14676315,196441,0.439591181072263,520083,771112,32115195,1589914,5.45505363545819,737275,2685399,10694202,864844,3.596266830592274,112668,1865293,31797831,1638039,8.953930800737096,27509,1178361,82326,1550790,2.226941939334255,99354,1179408,4896671,7163106,0.9996168025857566,949797,739540,10799261,49318,4.113048357170392,1038756,1368960,18476421,463957,2.732462694597083,2049320,1722091,8914183,836940,6.82720609684096
Slovenia,SVN,2020,102014,490001,1405480,276979,8.932605959869417,467349,2303923,2657241,1587627,9.20962183713655,146153,637727,1686873,1580729,7.225653729628512,47620,435933,10753031,2238294,1.7828752975301798,171337,1311318,10174266,330811,9.813243372249268,592922,955419,25222383,1406049,3.511511547128338,2499611,846851,1325954,2104430,5.069883706441751,1471361,1352373,4237229,570024,5.563796744664399,593542,1226701,7426830,747526,2.536574452972907,1237844,129105,13345801,64816,4.977493973670909
Solomon Islands,SLB,2020,1453383,1078622,354741,2350039,6.380606493186317,1753604,2346161,23421040,218583,4.816556352495374,866374,104696,5685399,1823958,3.219802431501053,468207,380768,7531259,95499,2.683014395041833,74942,576435,3516782,168496,5.547588603929872,140333,241085,4330431,811910,7.029298059240391,1163056,769155,10618425,402873,1.7065130772433834,324247,146148,10520931,855419,8.812072994225376,230031,3509856,4591189,914533,8.651693789368096,1232697,1062722,2616702,2160302,5.780178408003007
Somalia,SOM,2020,2596436,1143904,90143,690006,7.810003274115967,864177,1635563,2661167,253006,4.63688178148983,10158,1707529,7704928,2473643,0.3925156540536711,467995,349070,29559800,1144247,7.145432353994309,200278,370480,16059836,615507,9.050149115786446,156555,43460,134614,691263,3.356510116843709,942583,529267,13392047,17436,4.478800591645692,2005292,726871,8731918,182828,5.169179477815522,167602,1727921,16697637,369137,5.983506778614679,1352801,710071,123520,628905,6.605536061357072
South Africa,ZAF,2020,1642606,123730,2533890,1230288,3.1894602694373733,1646160,1447916,24972013,1182100,4.139026112293465,1073701,122438,3245823,368222,7.299379197700148,2041346,543118,21871162,461185,3.5101050243378165,1717770,496841,17767923,565202,9.486069317800537,1498165,411448,18314014,1451314,0.1399554398247626,1577996,1254573,39595504,24250,6.690132971612071,520582,40154,14825475,1649984,3.361226305286702,2974069,322509,118688,1677931,7.336514616729834,897978,98458,2023277,1670008,7.997430805187068
South Korea,KOR,2020,1442440,454679,2951414,2671813,3.258982058169985,401909,1009072,197956,558042,7.190835584541176,457010,3315181,21023010,3028051,8.759784555806858,937695,336958,4455895,623790,7.4127742077797745,141633,2002672,4836459,1235387,1.8593763260618767,282427,2784906,3679379,962429,8.739369474092527,310816,162910,1136986,1221774,6.426720688498944,318029,734578,3413080,181070,7.451893948593841,835818,7254,8015091,1961138,3.589108610574824,1829146,440621,1002213,708265,1.6633630422360368
South Sudan,SSD,2020,258586,4707879,22105001,39817,6.42759670184896,1953003,309353,15387673,725234,7.787683415006606,38447,2085517,4861702,325779,2.4973670101544574,523560,185914,8291262,1129617,0.155703890358021,1932557,740780,1779186,115100,7.513376467260812,2072403,200500,8272570,90451,4.8912488054505365,1406244,2160202,40188063,1593124,2.164357549375024,459647,3727416,4732920,2856706,3.1561582546294584,525445,251139,176787,1632664,5.7617601142603,5038,102870,209737,1355749,7.1740161083119744
Spain,ESP,2020,632789,84149,16669388,1966960,2.5640373858085974,1134967,1470601,4477072,331210,6.1491829088584975,3747075,163175,22589012,833431,9.46482685303751,103634,279401,8614599,1905663,4.601944038422749,213372,71092,13438321,262407,9.498296377419123,154290,1471210,11064879,987331,4.7242269384591005,1086993,366586,11977129,1499137,0.6373907396797984,639801,1122835,14919565,152990,2.705647037270297,4445448,700004,3287413,22021,5.787853779548106,479217,1515042,25121592,1092841,1.3074555856218073
Sri Lanka,LKA,2020,2143542,5992162,10206434,2299040,7.825333151622395,1211469,2273891,4175715,1122137,2.2812295668432103,203184,2211729,3525660,1982334,3.192322341393269,597350,1398679,815499,568522,6.77461566793972,1625257,222712,3467945,852621,8.120169399529225,1156526,1296828,13964648,1019936,2.467557493260226,2082179,1679765,103118,384866,5.823188240670419,322308,56911,5853850,2175852,1.3974746777806668,310094,211239,11399317,367748,5.292745153212476,1535949,2471238,1338604,3751389,8.13531268267324
Sudan,SDN,2020,874645,1429519,3285224,2325981,5.690571650590557,533917,349109,13762289,363252,3.717138291412781,2378796,1065141,3420678,2370671,3.607918798182842,947076,150390,11263430,1032817,5.228411397158786,833952,574928,3160727,41394,1.006182773916395,1088477,1430804,18431429,78585,8.233016475003993,1134471,148922,15331845,328889,9.906130409031844,1986263,3234224,14815783,1421426,7.249453165631702,6888088,1182383,1204770,361777,0.2165863420124802,3375830,713027,16434866,591113,0.4412430447397653
Suriname,SUR,2020,201149,200160,5350403,630042,1.420399715630578,752234,1141498,3154867,1261583,5.688070262958373,32028,2191793,14488426,1469221,1.119091934628048,1044864,110853,12547401,385428,8.716183328619385,2217885,653744,12870223,49914,5.535194005508566,137156,115946,14036249,1215996,4.738722757299458,174062,1129931,738385,3435,0.1907615025027553,1291703,1277881,11150719,932232,5.624696669178323,506040,446068,14574376,5641447,7.074315984151388,200600,775787,13229541,1112308,7.95585983389576
Sweden,SWE,2020,73163,425463,17255845,77535,5.458136146862666,786556,511389,6555229,198823,0.1312920393017957,45875,1414444,9748250,693870,0.0639051075558938,1272176,296938,14324645,968763,7.319266411130856,4666266,313875,1327309,555829,5.557098572897738,68620,1382596,8150027,63101,1.6122261309469554,1113883,236748,16719859,796458,5.682748543632318,27891,421334,4690090,661421,6.748052773011591,4825408,1991961,11391908,956256,0.6856220251691392,1179318,663985,5765429,552792,8.61507454402309
Switzerland,CHE,2020,1155018,330992,4463110,194911,4.070324969185771,1942219,2313330,7030195,132604,7.65250010717454,249051,1388438,2832128,753185,0.3239617061575017,516628,1443879,3623472,18239,9.396909426443523,333887,668462,506183,22419,9.606402895851776,2287737,226907,6578510,1646003,5.537817647021214,955085,806860,6454446,196544,1.81422580158458,785921,308036,2624761,1635749,6.345091359594882,805711,649600,178506,1504934,8.094877753312911,447329,1601854,786988,901037,3.754999493199808
Syria,SYR,2020,676844,796409,24387897,3088857,5.22866911867662,584058,167847,9146724,2845812,6.963989352494621,3046644,56950,12159040,307649,4.032616335554211,1905718,1187499,10065313,566143,6.204757482291341,976257,841063,21460651,305640,4.247159759713891,290141,4634068,22453625,1369773,8.48661337043265,94388,662187,12479013,130908,1.4251329624036213,118034,1331291,10818571,1306775,6.547184327626629,951730,24534,18493723,374715,7.637125288731893,341844,210369,21381531,584219,4.672647010788962
Taiwan,TWN,2020,684322,192389,881653,4446998,3.003910656960401,338434,119247,24972773,1588331,9.854508437204837,1368855,1067148,2753456,2109767,3.8297118234685934,267322,1227955,1393577,547198,1.123374596554586,18108,1202146,14248012,40790,6.098403615396411,130673,366855,10318364,928270,1.4870240779519197,377428,336916,40723,786175,6.078555201981838,108723,1000412,1607918,155658,0.4864336403284641,1774810,1806666,22810074,2626761,9.199255105115965,519694,134666,19173885,224547,3.05880449610656
Tajikistan,TJK,2020,95460,1310285,31925561,4395621,3.457278257977403,808841,523807,32427974,243617,4.231992854884333,776707,834549,29742340,16264,1.997211584392028,432401,1441377,13603460,1809586,7.739082275655162,2330857,1400581,16286165,3545,1.7726183487130345,1801954,911117,21832037,399233,0.181321402962109,412577,1113028,17043182,94027,7.245310239326864,1097079,1511987,4845196,862265,0.7951988833143908,1537357,821624,15789772,3046163,8.336898897527076,3116751,137791,1407702,564903,1.3976453838784286
Tanzania,TZA,2020,563533,232075,2318330,1149703,5.370934466450223,2813119,132046,2367359,5751847,9.021069828131456,2554550,1790690,17420259,762636,2.03802815382486,2989940,2905328,9584295,3113641,5.237754959846157,1468114,740016,2035270,884256,9.848525978593663,961706,470903,2038526,30522,5.135287234813923,39948,47589,489039,1833852,6.466744197727072,1046345,434668,6979495,1903302,0.6546987764131629,984791,1387860,1990336,765290,3.9872261651338112,550081,1246000,3203819,543819,2.0305568569725505
Thailand,THA,2020,648053,486098,7432917,2049215,3.897558461686105,466494,549704,1083037,282430,2.3770990051657304,55807,1323124,70544,1428743,1.736123542393334,231737,190658,17874140,117497,3.237753745757625,1250618,456712,2983758,847719,6.366841824342664,1072543,285907,19245762,1000011,3.994263549438777,167511,182073,3334987,2145429,4.324913155105634,466168,1302176,13237096,964226,3.988851243944104,2204519,708939,2056295,586328,3.990732213238374,318884,2978182,33687855,570879,2.8683957664074287
Togo,TGO,2020,490536,1847932,16387791,1976866,6.037273572573726,1596820,464227,2614229,111432,2.0139225518228745,751232,3523628,11182375,74875,1.6103832132362994,470988,198876,14731999,1352225,9.307664554508351,15396,2214167,6957829,1762181,9.453224562993356,1220665,1488921,21350146,372917,0.1839030453363199,1017723,1896140,1166262,1443655,0.7682564545730097,118202,177480,902627,1096251,2.064260831100912,89787,669452,5908057,3479950,6.595357517948601,701395,1878967,4181430,876411,6.0554159669086935
Tokelau,TKL,2020,1136399,1618115,16817344,1053020,9.04070324659184,584826,159891,19672324,1933553,4.088886193656736,1636544,3154487,10404196,637927,6.7450898908033095,2183697,924923,6363015,304614,5.828532897475537,3861227,4291889,15573203,23136,6.000649688515127,1786305,778838,4072323,1120453,8.42762401283009,1576068,263447,9611664,3162557,0.4939753941554758,867055,867027,9536605,343722,1.7097946157722843,1182147,2024416,1139138,101694,1.494362025141336,5595,1637104,39601462,319147,8.609905959574652
Tonga,TON,2020,365825,62857,2698878,685701,6.250900580744933,634437,949446,45244756,1105054,6.420773295419119,2455353,1675589,25752205,193446,8.232809641523398,158047,581089,1902190,1321790,2.5449909749762547,668859,38882,3265893,441329,2.169617651063196,955523,507828,4106623,332525,1.9107731590587265,2575461,1098721,6857541,1278927,0.625280166696891,1948342,1475139,3708487,693906,0.8027611036819127,2505027,447065,8092260,663742,8.865456746898342,586509,2501896,3438372,962710,9.382292763672988
Trinidad and Tobago,TTO,2020,422388,1374863,41552887,1145136,3.405082851687476,809328,1556829,9960459,330538,0.419306273589981,300330,191727,16857506,114590,2.343004853347069,1666200,474136,835286,429568,3.387714110776248,122898,1502139,6417179,853333,1.3186341677694124,2154725,2730904,4206553,1503601,2.850340759760778,359767,336794,2100915,1155112,7.244200911544838,1026243,726449,9770623,1874126,8.24599208055757,124117,801398,12882120,1362803,1.036843019686755,1405308,1588,38722867,1096732,9.674512208816806
Tunisia,TUN,2020,1405140,310633,3152843,1485527,5.521617872673703,525626,1617764,1441981,339019,1.763403175618995,1179152,3764779,3283709,2376438,4.495644638298209,1027437,1721811,189205,3936895,7.331974975166929,499294,1547481,7033605,320252,5.397923963197683,5160091,1156585,7896010,194945,0.0360170510939494,857021,627950,4425278,1487156,1.8908800527129588,1312133,1758924,33145914,1436045,6.191063301146336,326307,105979,6840344,411000,4.46935448974887,863532,153192,1794999,84981,9.977177172639657
Turkmenistan,TKM,2020,127928,1765968,10962043,128992,6.58475309991418,5743899,936370,20058236,1251917,6.849788030759468,455755,2051211,7972816,301569,2.015755030901053,662083,496206,4940020,108482,4.077772709026456,1830653,230573,4459839,6275732,2.136861101728789,2475054,46499,1025444,1235065,2.01682218410586,204225,170962,4289674,9751,2.65863534472518,1219635,956873,9517251,1147330,9.867711079193455,1528303,1377478,1993970,624180,5.18017722082058,251431,397060,2229690,114550,0.7287463083301671
Tuvalu,TUV,2020,1348379,3634447,3638190,1731103,1.6553243157974618,1235780,3191706,35395809,791720,0.2562374462724759,966155,19936,3476794,2160232,2.023320429514244,658764,2444817,33002654,4684785,4.939762095524096,421939,135027,8379425,679052,5.923194948935371,144048,216872,33773932,718173,1.78505131129847,1365546,26777,8388704,132038,6.805016717987477,771420,941791,9418780,2079349,5.818616423682167,4193814,3787871,19561439,339442,8.101102928750649,827985,2196748,5055420,694520,3.617239988988814
Uganda,UGA,2020,97772,1139848,10619140,309382,4.651300140019224,73497,1696434,4504666,736669,1.4546231589783476,390991,1552921,9675463,615844,4.717155422252093,323927,958415,9201110,624012,6.768484460031661,28175,1819040,1135884,718113,1.7671088300410387,1203941,2677075,330343,1414985,7.266388829132863,2590244,634767,2432649,588027,4.712219573683464,854107,1847781,13461261,4142174,0.5087679522415334,560012,79175,7739305,556958,4.4588382549625365,32050,3256,19047429,127354,1.8654867138292608
Ukraine,UKR,2020,881874,13697,58708290,820606,6.8518718960177605,1610125,16432,11752820,2618901,5.455805277776243,200051,305341,19085440,377376,1.860746860057224,1785146,1998782,9912618,1252523,0.3661177083438893,1425176,1583656,8269794,1383011,6.464882187851446,320770,2589678,2709530,697979,3.8710286632606703,264069,315423,42501895,169165,2.797538343850868,239272,1035958,13129573,919,5.237951304900315,940572,2593142,3916615,258284,2.1513045716455483,1348670,590338,9899438,59074,3.2342610622477066
United Arab Emirates,ARE,2020,786243,1757573,12080998,1078792,7.287588672685744,92750,392223,9952512,1337730,4.735009157150619,57808,1369460,550315,2488225,2.7782858167474944,93210,800762,8546062,174238,0.8814265088043471,1805561,1224327,8509397,99135,9.64293948971907,718053,3441653,8540097,1167383,2.275974454655969,85458,104033,33121774,2648178,4.88317594564172,557333,282257,7167926,896013,5.780658344497548,219448,446244,11004088,495729,5.580779481810142,1988347,903346,1146145,157611,2.165004938667826
United Kingdom,GBR,2020,235064,1854984,4528899,132661,0.2389557105368289,575137,791562,8291827,1009796,9.667555525893263,510730,27292,2100940,151338,6.292307445333879,276591,679934,20368947,329195,5.6699861255135255,626243,334303,6219843,228874,8.431003262925685,41086,455431,559108,262616,9.19308762898055,180441,1014043,1719418,1430265,1.1759586354990792,541409,541682,50131994,346958,0.4037140383809334,421264,3585481,12078293,490193,0.8756297945626623,107081,708973,7544864,2735618,9.018229434975876
United States,USA,2020,459079,1240072,5745399,1666174,8.818431594424544,3579794,1756100,18481560,427256,1.5234213846904388,430286,12814,1405499,121154,4.061317450039999,149158,1927692,6930225,606670,8.13603873626377,3459428,1978292,181128,1812815,2.2002758727054084,971354,600138,59778910,532748,3.5741934086390623,713441,393469,1182692,2261006,7.9564557099765825,2049425,1006729,1802233,773732,5.639372937222264,282494,724501,2671393,83995,3.0705400701467767,275569,600448,7921438,1030447,8.861682940405318
United States Virgin Islands,VIR,2020,309419,947590,2069639,1203595,6.57343285152202,275318,520519,2378171,1220635,2.0054742406171644,909813,1269,5303954,1768269,6.350898402017783,880625,811930,3140953,759802,0.76398942689899,300672,925421,5361291,542505,9.451734634191968,143069,548846,10132238,767480,4.632291539210756,732899,2602868,2206467,1709710,6.565584390060836,390260,463227,158843,548390,4.328835925278155,1780958,1325404,3586067,2543520,2.08134107831612,442548,284166,4198556,35365,0.3692040626425397
Uruguay,URY,2020,675637,564626,70121944,526754,9.613730619291651,354491,738944,348563,1927434,6.783434443643333,198798,219223,1070016,7366,3.04624607215111,283587,3002024,31958132,807828,8.545200438004157,753326,138545,13443546,44526,5.779559642325375,262051,1208989,5843048,33680,7.7857685898043005,382614,499846,1344596,1712133,4.458892238005577,1258000,1818829,4375148,1440942,1.3725223995084157,728748,151945,3307923,178006,1.2950888533312166,499866,142793,7720209,926452,5.875299588172207
Uzbekistan,UZB,2020,656131,1400775,1830724,285455,3.7411430167720647,147399,510211,12901492,216082,9.759290418672691,1612092,1450391,4559571,1208785,5.222759221900956,1755874,68601,1534257,2049993,1.1228246880982615,1083420,1206258,2224243,289588,6.543038121094745,1688241,19014,2801100,1468247,3.484788499125723,637695,996827,4222643,718817,8.518371583128262,2709132,147273,74604,221325,5.31394026756981,1730360,2741488,4542687,1056958,1.0686267624777213,35205,242508,13315156,266200,8.102799684506968
Vanuatu,VUT,2020,729620,524130,1859599,775341,5.990615618507965,2052013,3280357,236549,343585,2.9525575316092723,85325,1967076,5169995,259555,6.259437426357013,3280311,280840,4475112,281608,3.2185281158923584,1317218,1010053,4631114,1615737,8.350202422293052,323125,174263,5560330,1617496,1.582821689482533,995163,2223291,14553128,1163820,8.191750809565244,457096,157615,21453249,2018454,3.263546290427951,1434307,1568552,4571076,1139219,4.778659269000688,4424,673622,4947651,137274,3.1082509131207834
Vatican City,VAT,2020,643750,176059,5115545,843809,8.48058280543462,723483,34839,969387,1762870,4.704488768355354,1839916,136092,62807498,151409,9.289807186473736,279831,619869,6428812,951758,5.232889705735353,1655406,330543,12817868,86956,8.43281089818555,1034958,1257778,1272844,1337907,1.862991678727368,154278,522376,3845283,289432,8.850790485267806,164030,1230092,1358281,2129026,6.689785856999898,904800,512655,7416734,1636543,3.907363652346741,51832,752952,14752174,1262406,4.107626130455079
Venezuela,VEN,2020,117940,3451971,2248980,1075513,7.5811028823945215,908132,282012,19273481,1927050,4.13247606288884,156507,915274,19530072,1415737,2.444397058298505,976970,1276871,173701,1260470,0.4964556295091393,667618,35075,5570801,1550470,2.2113241277170257,1312507,320136,42317527,1437491,6.453494476655799,783902,780360,8111181,513073,4.12276658054524,701459,396194,20673405,479032,3.64934081433431,821305,1106868,3020214,1027718,5.131478781073132,1544053,2560442,7023529,1159645,0.7075878729177099
Vietnam,VNM,2020,389428,925797,7818973,2254776,0.6478387988822554,200255,554778,4309234,520050,1.6410712838577255,1864340,776887,7900228,2050520,5.9261315764366005,752154,609451,1655788,1920090,7.526468426657519,1545258,793289,3085774,7852,1.7697762685066345,904,204385,20471812,2008659,1.733428580337805,1122426,20504,6606684,1138453,1.1694054696189882,1279480,1686844,8303127,657629,8.595686105806216,74738,441189,19630729,3471585,8.890539582509847,1691439,11717,14004701,2400424,5.512749542055218
Wallis and Futuna,WLF,2020,2240452,2387595,2769778,391264,9.57895817340517,968703,425540,11031750,95387,0.557648531227809,175159,492239,582952,4745098,3.924417592979156,630402,482372,1139938,1155070,3.0821290338573712,51231,240200,1831143,659498,7.996658280023389,3028868,22614,4977351,289987,9.497959984300792,317655,2032667,16209005,413057,4.693170913401628,647939,1305921,860686,1168618,2.790767568414756,852599,1355273,84628,495283,8.26385135082034,1289371,4778118,19135177,798113,5.13386476661816
Yemen,YEM,2020,635047,854023,3829696,534678,0.8837064952178653,82837,1919349,3228648,884381,9.827497804262434,57395,318798,81759,2492516,7.1959988384591975,3126061,446872,5144051,949066,3.1874222923805737,1944913,1278734,17664241,426426,7.525605527308642,1023753,291860,29357440,109591,4.203190621964584,2428,1152634,2502511,4902212,8.857647371899105,1812184,508909,5697509,293907,7.257557109408383,5313101,136238,448372,192445,4.313899178910424,1737488,4113638,1171748,1016067,6.099163727017077
Zambia,ZMB,2020,19809,48871,3572742,542044,8.906703526346547,1723905,896782,18985257,59687,8.83946569060683,1046957,300746,1633392,225471,4.050824896470182,61704,257230,20746039,1621686,7.705439027098619,1355146,885762,6165977,1310304,8.33345410731029,329335,4361456,5508541,445971,4.090496358971586,923774,356250,31293552,2257070,4.42174513477739,382102,4566577,1383717,1099570,5.93936661336463,503000,413686,57062779,350790,9.776909246628884,113369,831308,4025210,53121,9.559013013561716
Zimbabwe,ZWE,2020,2430264,158344,9044732,5286283,6.709929401544197,8560605,1825962,7126065,1323859,5.760605276858192,2350518,311249,2988659,533649,1.5206135831278833,481032,856357,2109684,5284465,8.483272095915112,375421,1614802,3006261,247025,8.955215019478057,491606,1561749,1210203,1276290,8.204588281769627,1200224,2347249,3303483,191883,1.6430682034121102,243512,636930,34299281,1077477,5.906503992363035,371305,428170,374793,233489,2.828203562058797,1544974,4334032,1340849,791520,8.526379023754105
